Question,Catégorie,Poids_question_sur_10,Niveau_risque_1_a_5,Explication
Existe-t-il un plan de lutte contre les nuisibles ?,locaux_securite_hygiene,5,,Un plan de lutte contre les nuisibles doit être mise en place. Vous pouvez le faire vous-même ou via une société externe.
Disposez-vous d'un local benne isolé ?,locaux_securite_hygiene,2,,"Vos poubelles doivent être dans un local benne éloigné du laboratoire, en extérieur dans l'idéal et à proximité d'aucune denrée alimentaire."
Le tri des déchets est-il effectué selon la réglementation en vigueur ?,locaux_securite_hygiene,1,,"Vous devez trier vos déchets et notamment les déchets organiques ou bio déchets. Il s'agit du tri à la source des déchets des entreprises. Des sanctions administratives et/ou pénales sont possibles.
Article L541-21 et suivants du Code de l'environnement."
Les locaux sont-ils adaptés pour un nettoyage conforme à la règlementation ?,locaux_securite_hygiene,5,,"Murs lessivables, tables en inox, sol nettoyable avec caniveau de sol nettoyable, espace de rangement pour le petit matériel etc.
Voir notamment : Arrêté du 20 novembre 1979 portant règlement sanitaire du département de Paris. Titre VII."
L'immeuble est-il raccordé à l'assainissement collectif (tout-à-l'égout) ?,locaux_securite_hygiene,5,,Le raccordement au tout-à-l'égoût est obligatoire.
L'approvisionnement en eau potable se fait-il via le réseau public ?,locaux_securite_hygiene,1,,"Vérifier la présence d'un adoucisseur, si oui, d'un contrat de maintenance."
La ventilation et l’extraction d’air sont-elles fonctionnelles et conformes ?,locaux_securite_hygiene,1,,"L'aération et la ventilation doivent être assurées en permanence et permettre l'évacuation rapide des odeurs, des buées et vapeurs de cuisson."
Le local est-il équipé d’un bac à graisse ?,locaux_securite_hygiene,1,,"Vous devez disposer d'un bac à graisse. Sa mise en place peut représenter un coût.
Voir notamment : Article R1331-2 du Code de la Santé Publique"
Le local dispose-t-il du nombre suffisant de blocs autonome d'éclairage de sécurité (BAES) ?,locaux_securite_hygiene,8,,Renseignez-vous auprès de professionnels. Les travaux peuvent être coûteux.
L'entreprise dispose-t-elle de tous les moyens de protection contre les incendies ?,locaux_securite_hygiene,8,,"Faites intervenir des professionnels de la protection incendie. A contrôler notamment : les extincteurs (nombre, disposition, classe adaptée ou non), détection, signalisation et plans, alertes, formation du personnel."
Avez-vous consulté le rapport électrique ?,locaux_securite_hygiene,8,,"Vérification annuelle à réaliser par un bureau de contrôle. En cas d'anomalie, la facture peut être élevée.
Vérification des installations électriques (Articles R4226-14 à R4226-21) Code du travail"
Disposez-vous d'une porte automatique ?,locaux_securite_hygiene,2,,"Si vous disposez de portes automatiques, vous devez obligatoirement avoir un contrat de maintenance.
(Arrêté du 21 décembre 1993 relatif aux portes et portails automatiques et semi-automatiques sur les lieux de travail)"
"Existe-t-il un système de protection (alarme, vidéosurveillance etc) des locaux ?",locaux_securite_hygiene,1,,Contrat à auditer.
